Name,ISIN,Symbol,Market,Trading Currency,Open,High,Low,Last,Last Date/Time,Time Zone,Volume,Turnover,
MERCK AND CO INC,US58933Y1055,MRK,Euronext Paris,EUR,77,79.4,77,79.4,26/11/19,CET,830,64727.6,
MERSEN,FR0000039620,MRN,Euronext Paris,EUR,30.85,31.1,30.3,30.45,26/11/19,CET,34470,1052263.85,
METABOLIC EXPLORER,FR0004177046,METEX,Euronext Paris,EUR,1.168,1.196,1.146,1.196,26/11/19,CET,52731,61450.89,
METALLIANCE,FR0010492181,MLETA,Euronext Access Paris,EUR,14.5,14.5,14.5,14.5,1/11/19,CET,2,29,
METHANOR,FR0011217710,ALMET,Euronext Growth Paris,EUR,5,5.1,5,5.1,26/11/19,CET,1739,8827.2,
METHORIOS CAPITAL,IT0004615396,ALMTH,Euronext Growth Paris,EUR,0.03,0.03,0.03,0.03,3/10/16,CET,1,0.03,
METRICS IN BALANCE,BE0974328602,MLMIB,Euronext Access Paris,EUR,7.5,7.5,7.5,7.5,13/6/19,CET,26,195,
METROPOLE TV,FR0000053225,MMT,Euronext Paris,EUR,16.04,16.11,16.03,16.03,26/11/19,CET,43801,702702.44,
MG INTERNATIONAL,FR0010204453,ALMGI,Euronext Growth Paris,EUR,2.96,2.96,2.96,2.96,26/11/19,CET,500,1480,
MGI DIGITAL GRAPHI,FR0010353888,ALMDG,Euronext Growth Paris,EUR,53.5,54.7,52.8,54.7,26/11/19,CET,7056,380932,
MICHELIN,FR0000121261,ML,Euronext Paris,EUR,111.7,112.7,111,111.25,26/11/19,CET,768843,85623002.7,
MICROPOLE,FR0000077570,MUN,Euronext Paris,EUR,1.265,1.275,1.26,1.265,26/11/19,CET,16732,21186.32,
MICROSKIN,GB00BF553726,MLSKN,Euronext Access Paris,EUR,0.03,0.03,0.03,0.03,8/6/17,CET,10000,300,
MICROSOFT CORP SPL,US5949181045,MSF,Traded not listed Brussels,USD,150.14,150.14,150,150,25/11/19,CET,102,13911.7,
MICROWAVE VISION,FR0004058949,ALMIC,Euronext Growth Paris,EUR,15.45,15.9,15.4,15.8,26/11/19,CET,4110,64782.15,
MIGUET ET ASSOCIES,FR0010500363,MLNMA,Euronext Access Paris,EUR,3.62,3.62,3.62,3.62,21/11/19,CET,100,362,
MIKO,BE0003731453,MIKO,Euronext Brussels,EUR,112,112,110,110,26/11/19,CET,1185,131614,
MILIBOO,FR0013053535,ALMLB,Euronext Growth Paris,EUR,2.08,2.18,2,2.12,26/11/19,CET,45985,95050.18,
MINCON GROUP PLC,IE00BD64C665,MIO,Euronext Growth Dublin,EUR,1.09,1.14,1.08,1.14,21/11/19,UTC,10726,11878.64,
MITHRA,BE0974283153,MITRA,Euronext Brussels,EUR,27.14,27.48,27.12,27.24,26/11/19,CET,20996,572995.1,
MKB Nedsense,NL0009312842,NEDSE,Euronext Amsterdam,EUR,0.141,0.152,0.141,0.152,26/11/19,CET,3120,442.34,
MLD,FR0013268067,MLAMY,Euronext Access Paris,EUR,3.6,3.6,3.6,3.6,19/1/18,CET,6600,23760,
MND,FR0011584549,ALMND,Euronext Growth Paris,EUR,0.37,0.371,0.37,0.37,26/11/19,CET,10175,3766.33,
MND BSA 2019,FR0013449857,ALMBS,Euronext Growth Paris,EUR,0.023,0.025,0.0225,0.0227,26/11/19,CET,57571,1370.57,
MONCEY (FIN.) NOM.,FR0000076986,MONC,Euronext Paris,EUR,5000,5000,5000,5000,25/11/19,CET,4,20000,
MONFINANCIER,FR0010882886,MLMON,Euronext Access Paris,EUR,0.64,0.64,0.64,0.64,20/11/19,CET,100,64,
MONTEA C.V.A.,BE0003853703,MONT,Euronext Brussels,,,,,,,,,,
MONUMENTAL RES,PTMNN0AE0006,MLMR,Euronext Access Lisbon,EUR,-,-,-,-,-,BST,-,-,
